PartNumber,TariffCode,ExtWtKg,NetQuantity,ValueUSD,CountryOfOrigin,CountryOfExport
DMH246,73071930CN,363.00362976407,2.000000000,723.4200000000,US,US
XMO624,73071930CN,534.99092558984,6.000000000,1004.5200000000,US,US
XME422,73071930CN,490.01814882033,24.000000000,917.5200000000,US,US
DMB2490,73071930CN,256.35208711434,1.000000000,509.2300000000,US,US
XMB1211,73071930CN,3194.1923774955,32.000000000,6088.3200000000,US,US
DML14,73071930CN,464.60980036298,8.000000000,917.5200000000,US,US
DMH166,73071930CN,1627.0054446461,16.000000000,3231.5200000000,US,US
DME1290,73071930CN,51.724137931034,1.000000000,96.8500000000,US,US
XML4,73071930CN,735.02722323049,36.000000000,1392.8400000000,US,US
XML4,73071930CN,735.02722323049,36.000000000,1401.1200000000,US,US
XMO818,73071930CN,889.29219600726,8.000000000,1664.6400000000,US,US
XMT2020,73071930CN,925.58983666062,2.000000000,1827.8400000000,US,US
DMO1218,73071930CN,384.53720508167,4.000000000,728.6000000000,US,US
DMT1812,73071930CN,1215.9709618875,8.000000000,2304.0000000000,US,US
DME845,73071930CN,400.18148820327,18.000000000,758.3400000000,US,US
XMY66,73071930CN,789.47368421053,12.000000000,1504.8000000000,US,US
